Package type;Shape;Size;Opening;;Quality;Q-S-V;;Length;Width;Paperboard;Paperboard info;LDPE;LLDPE;PA6;PP;EVOH;LK-film;LK25-film;R2-film;K40-film;EVOH-film 3141;EVOH-film 3143;OPP-film;PET-film;Al thickness;;Top Eifel weight;Top others weight;Top Orion;Cap HDPE;DIMC LDPE;Opening HDPE;Opening LDPE;Opening PP;Pulltab area;Sales 2011;;Area;Paperboard weight;LDPE weight;LLDPE weight;PA6;PP;EVOH;LK36-film weight;LK25-film;R2;K40;EVOH-film 3141 weight;EVOH-film 3143 weight;OPP-film weight;PET-film weight;Al grammage;Al weight;LS-strip weight;Pulltab weight;;Package Weight;Top Weight;Package+Top Weight;CapWeight;Opening weight;Total Weight;GWP Raw mtrl sleeve;GWP Raw mtrl top/cap/opening;GWP Raw mtrl;GWP converting sleeve;GWP converting top/cap/opening;GWP transport;GWP converting & transport;GWP total;;Sleeve Weight;Top Weight;Sleeve+Top Weight;Cap Weight;Opening Weight;Total Weight;GWP Raw mtrl sleeve;GWP Raw mtrl top/cap/opening;GWP Raw mtrl;GWP converting & transport;GWP total;Updated;SystemImage;ShapeImage;VolumeImage;OpeningImage;LastImage
Tetra Brik;Edge;1000;SimplyTwist S34;;TB/ml;6065-799-73;;285;292;288;1624 CLC/C Duplex Korsn„s Fr”vi 320 mN;40,1;18,9;;;;;;;;;;;;;;;;;;1,72;1,6;;;;1;;0,083;24;3,34;1,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;;29,03;0;29,03124;0;3,32;32,35;27,1;6,7;33,8;4,7;2,1;0,8;7,6;41,4;;29;0;29;0;3;32;27;7;34;8;41;X;TBA_001;TB_edge_button;;;TB_edge
Tetra Brik Aseptic;Base;100;Strawhole;;TBA/jl;7429-230-09;;113,33;162;217;1612 CLC/C Bleached MWV 80 mN;50,2;16,8;;;;;;;;;;;;6,3;;;;;;;;;;;9393;;0,018;4;0,92;0,31;0;0;0;0;0;0;0;0;0;0;0;17,01;0,31;0,06;0;;5,59;0;5,587579255;0;0;5,59;9,3;0;9,3;1;0;0,1;1,2;10,5;;6;0;6;0;0;6;10;0;10;1;11;;TBA_001;TBA_Base;TBA_Base_100;;TBA_100_Base_no
Tetra Brik Aseptic;Base;100;Strawhole;;TBA/jl;7631-230-09;;113,33;162;217;1612 CLC/C Bleached MWV 80 mN;50,2;16,8;;;;;;;;;;;;9;;;;;;;;;;;361942;;0,018;4;0,92;0,31;0;0;0;0;0;0;0;0;0;0;0;24,3;0,45;0,06;0;;5,72;0;5,721419718;0;0;5,72;10,9;0;10,9;1;0;0,1;1,2;12,1;;;;;;;;;;;;;;;;;;
Tetra Brik Aseptic;Base;100;Strawhole;;TBA/jl;7369-230-09;;113,33;162;198;1621 CLC/C Duplex Korsn„s G„vle 80 mN;43,7;13,3;;;;;;;;;;;;6,3;;;;;;;;;;;133800;;0,018;3,6;0,8;0,24;0;0;0;0;0;0;0;0;0;0;0;17,01;0,31;0,06;0;;5,06;0;5,055154915;0;0;5,06;8,7;0;8,7;1;0;0,1;1,2;9,9;;;;;;;;;;;;;;;;;;
Tetra Brik Aseptic;Base;180;Pulltab;;TBA/jl;7124-420-81;;132,5;214;207;1123 Bleached MWV 80 mN;50,2;16,8;;;;;;;;;;;;6,3;;;;;;;;;;;10393;;0,028;5,9;1,42;0,48;0;0;0;0;0;0;0;0;0;0;0;17,01;0,48;0,07;0;;8,32;0;8,32313855;0;0;8,32;14,1;0;14,1;1,6;0;0,2;1,8;15,9;;8;0;8;0;0;8;14;0;14;2;16;;TBA_001;TBA_base;TBA_Base_180;;TBA_200_Base_pt
Tetra Brik Aseptic;Base;200;Pulltab;;TBA/jl;7429-460-17;;140;214;217;1612 CLC/C Bleached MWV 80 mN;50,2;16,8;;;;;;;;;;;;6,3;;;;;;;;;;0,00063;173206;;0,03;6,5;1,5;0,5;0;0;0;0;0;0;0;0;0;0;0;17,01;0,51;0,08;0,079758;;9,09;0;9,0938596;0;0,079758;9,17;15,1;0,7;15,8;1,7;0,1;0,2;2;17,9;;9;0;9;0;0;9;15;1;16;2;18;;TBA_001;TBA_Base;TBA_base_200;pullTab_TBA;TBA_200_Base_pt
Tetra Brik Aseptic;Base;200;No opening;;TBA/ml;7197-460-07;;140;214;191;1621 CLC/C Duplex Stora Enso Skoghall 80 mN;43,7;13,3;;;;;;;;;;;;6,3;;;;;;;;;;;133403;;0,03;5,7;1,31;0,4;0;0;0;0;0;0;0;0;0;0;0;17,01;0,51;0,08;0;;8,02;0;8,0152996;0;0;8,02;13,9;0;13,9;1,7;0;0,2;1,9;15,8;;8;0;8;0;0;8;14;0;14;2;16;;TBA_001;TBA_Base;TBA_base_200;no_opening_TBA;TBA_200_base_no
Tetra Brik Aseptic;Base;200;No opening;;TBA/ml;7197-460-07;;140;214;192;1667 CLC/C Duplex Klabin 80 mN FSC;43,7;13,3;;;;;;;;;;;;6,3;;;;;;;;;;;626084;;0,03;5,8;1,31;0,4;0;0;0;0;0;0;0;0;0;0;0;17,01;0,51;0,08;0;;8,05;0;8,0452596;0;0;8,05;14;0;14;1,7;0;0,2;1,9;15,9;;;;;;;;;;;;;;;;;;
Tetra Brik Aseptic;Base;200;No opening;;TBA/ml;7197-460-07;;140;214;198;1621 CLC/C Duplex Korsn„s G„vle 80 mN;43,7;13,3;;;;;;;;;;;;6,3;;;;;;;;;;;1063;;0,03;5,9;1,31;0,4;0;0;0;0;0;0;0;0;0;0;0;17,01;0,51;0,08;0;;8,23;0;8,2250196;0;0;8,23;14,1;0;14,1;1,7;0;0,2;1,9;16;;;;;;;;;;;;;;;;;;
Tetra Brik Aseptic;Base;200;No opening;;TBA/ml;7414-460-07;;140;214;191;1621 CLC/C Duplex Stora Enso Skoghall 80 mN;43,7;13,3;;;;;;;;;;;;6,3;;;;;;;;;;;64855;;0,03;5,7;1,31;0,4;0;0;0;0;0;0;0;0;0;0;0;17,01;0,51;0,08;0;;8,02;0;8,0152996;0;0;8,02;13,9;0;13,9;1,7;0;0,2;1,9;15,8;;;;;;;;;;;;;;;;;;
